"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 14:03:01 GMT 2022","Fri Oct 14 14:03:04 GMT 2022","2348","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:03:00 GMT 2022","Fri Oct 14 14:03:05 GMT 2022","5232","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:03:00 GMT 2022","Fri Oct 14 14:03:01 GMT 2022","622","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:03:03 GMT 2022","Fri Oct 14 14:03:03 GMT 2022","284","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:03:03 GMT 2022","Fri Oct 14 14:03:04 GMT 2022","279","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:03:04 GMT 2022","Fri Oct 14 14:03:05 GMT 2022","1164","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:02:55 GMT 2022","Fri Oct 14 14:03:00 GMT 2022","5113","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:03:00 GMT 2022","Fri Oct 14 14:03:07 GMT 2022","7539","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:02:55 GMT 2022","Fri Oct 14 14:03:02 GMT 2022","6187","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:03:01 GMT 2022","Fri Oct 14 14:03:01 GMT 2022","293","","Base page test","","Base page test","POST test request","POST test request",""
